Name,Meaning
Èròmídayọ̀,My thoughts have resulted in joy.
Èròmídọlá,My thought have turned to success.
Ẹ̀rúbàmí,"1. I'm afraid.
2. I'm not afraid."
Ẹrúọba,The king's subject.
Ẹ̀rùòbodò,The river is not afraid.
Ẹrùogun,"1. Spoils of war (Ẹrùogun)
2. The slave of Ògún (Ẹrúògún)"
Ẹ̀rùọmọ́bàmì,The fear of the child gripped me.
Ẹ̀ṣà,One specially selected.
Ẹ̀san,Revenge. Payback. Recompense.
Ẹshínlókun,A horse is strong.
Ẹṣinlókùn,[Meaning unknown]
Ẹṣọ́,Guards.
Èṣùbíyí,Èṣù birthed this (child).
Èṣúbùnmi,Èṣù gave me (this child).
Èṣùdé,"Here comes Èsù, the Yorùbá trickster god."
Ẹ̀ṣùgbàmí,Èṣù saved me. Ẹ̀ṣù received me.
Ẹ̀ṣúgbayì,Èsù has earned respect.
Èṣúgbèmí,Èṣù (worship) is beneficial to me.
Èṣùgbóhùn,Esu heard my voice.
Èṣúgbọ̀lá,Esu takes pre-eminence.
Èṣùkáyọ̀dé,Èṣù brings joy.
Èṣùkẹ́mi,Èṣù cares for me.
Eṣúọlá,The locust of wealth.
Èṣúrúoṣó,The èṣúrú of the sorcerer.
Èṣúsànyà,Èṣù repaid me (with good) for my suffering.
Èṣúṣeékẹ́,(The child of) Èsù should be pampered.
Èsùtáyọ̀,Èsù is worth rejoicing for.
Èṣúyẹmí,Esu (worship) fits me.
Ẹ̀taòkò,The third stone.
Ẹtti,Born on Friday.
Ẹttù,[unknown]
Euba,
Ẹwà,Beauty.
Ẹwàdùnní,Having beauty is a pleasure. Beauty is good to have.
Ẹwàọlá,The beauty of notability/wealth.
Ẹwàolúwa,Beauty of the lord.
Ẹwàolúwakìíshá,The beauty of God does not fade.
Ẹwàtómi,Beauty is enough for me.
Ẹwawùnmí,Beauty attracts me/I'm desirous of beauty.
Ẹwàyẹmí,Beauty befits me.
Ewébáyọ̀,Herb/Medicine meets joy.
Ewédọlá,The herbs have turned into riches.
Ewégbèmí,Herbs/Medicine support/benefit me.
Ewéjẹ́,The (medicine) herbs were efficient.
Ewéníyì,Herbs are valuable.
Ewénjẹ́,Herbs are efficacious.
Ewénlá,The big leaf.
Ewétádé,Herbs are worth royalty.
Ewétúgà,Medicine is worth royalty.
Ewinletí,"In Cuban usage, the belief is that it means ""the ears of Obatala."" 

In Yorùbá language, Iwínlétí means ""the forest spirit/fairy (O̩bàtálá) has ears (listens to petitions)"""
Ewúbàjò,Danger returned from a trip.
Ewúlọmí,I have escaped from evil.
Ewuọlá,The risk of success.
Èwúoṣó,A sage's hamlet
Ewúyẹmí,Old age suits me.
Èyíloreolúwa,This is the gift of God
Èyímofẹ́,This one (is the one) I want.
Ẹyinadé,A delicate crown.
Eyínafẹ́,Fanciful teeth.
Eyínfúnjowó,(One with) teeth whiter than (cowrie) money.
Èyínimofé,This is what I want. This is whom I wanted. This is whom I love.
Ẹyinjúolúwa,The apple of God’s eyes.
Eyínmẹ́nugún,The teeth makes the mouth straight.
Èyíówùáwí,We do not wish to say this.
Èyítáyọ̀,This (child) is enough joy.
Èyítèmi,This (one) is mine.
Èyítófọ́lá,A child enough for wealth.
Èyítọ́lá,This is the worth of wealth.
Èyítómi,This one is sufficient for me.
Èyítóní,"This child is the ultimate asset. This child is a valuable asset,"
Èyítọ́pẹ́,This (one) is worth celebrating.
Èyíwùnmí,This attracts me.
Èyíwùnmítólúwabunmí,I love what I've been given by God.
Èbúdọlá,Insults have turned to wealth.
Ẹ̀bùn,Gift.
Ẹ̀bùnìleriòluwá,The gift of God's covenant.
Ẹ̀bùnlọmọ,A child is a gift.
Ẹ̀bùnolúwa,The lord's gift.
Èdìdíayọ̀,The seal of joy.
Èdìdììmísí,The seal of inspiration.
Èébúdọlá,Insults have become wealth.
Èésúọlá,The bundle of wealth
Ẹ̀gbẹ̀jí,One with supernatural powers.
Ègbèṣínà,Ègbè will open the way. Ègbè opened the way.
Égúnlúsì,The masquerade has renown.
Égúnyẹ́mí,Being a masquerader befits me.
Ẹ̀híndẹ̀rọ̀,The back (or the future) is relieved.
Èjíwùmí,"1. I love tooth gaps
2. I love twins."
Èjíwùnmí,I am attracted to gap teeth.
Èkémọdé,A dishonest child.
Èléyìnmí,The Èlé divinity praises me.
Ẹ̀míayọ̀,The spirit of joy. A life of joy.
Ẹ̀mídé,Soul/Life has arrived
Ẹ̀mílójù,Life is paramount.
Ẹ̀mími,"My life, my heart."
Ẹ̀míọlá,The breath/life of wealth.
Ẹ̀míolúwa,God's spirit/breath.
Èpédọlá,A curse placed (on us) turned beneficial instead.
Èrèọlá,The gains of success/wealth. The benefit of prominence.
Ẹ̀rí,Shortened form of Ẹ̀ríolúwa
Ẹ̀ríayọ̀,Witness to joy. The proof of happiness.
Ẹ̀rígbàgbọ́,Evidence of faith in God.
Ẹ̀ríìfẹ́,The testimony/proof of love.
Ẹ̀ríìfẹ́olúwa,The evidence of God's love.
Ẹ̀ríire,Evidence of goodness.
Ẹ̀ríìyanuolúwa,Testimony of God's miracles or wonders.
Ẹ̀rínayọ̀mi,The laughter of my joy.
Ẹ̀rínọlá,"The joy of success/nobility, etc."
Ẹ̀rínọ̀shọ́,A burst of graceful laughter. The laughter of adornment.
Ẹ̀rínoṣó,The laughter of the sorcerer.
Ẹ̀ríolúwa,"1. God's witness. 
2. Evidence of God's existence/goodness."
Ẹ̀ríolúwatósìn,God's testimony is worthy to be praised
Ẹ̀ríyanuolúwa,Testimony of God's miracles or wonders.
Èrògbogbo,"1. All crowds.
2. All thoughts."
Èròmídayọ̀,My thoughts have resulted in joy.
Èròmídọlá,My thought have turned to success.
Ẹ̀rúbàmí,"1. I'm afraid.
2. I'm not afraid."
Ẹ̀rùòbodò,The river is not afraid.
Ẹ̀rùọmọ́bàmì,The fear of the child gripped me.
Ẹ̀ṣà,One specially selected.
Ẹ̀san,Revenge. Payback. Recompense.
Èṣùbíyí,Èṣù birthed this (child).
Èṣúbùnmi,Èṣù gave me (this child).
Èṣùdé,"Here comes Èsù, the Yorùbá trickster god."
Ẹ̀ṣùgbàmí,Èṣù saved me. Ẹ̀ṣù received me.
Ẹ̀ṣúgbayì,Èsù has earned respect.
Èṣúgbèmí,Èṣù (worship) is beneficial to me.
Èṣùgbóhùn,Esu heard my voice.
Èṣúgbọ̀lá,Esu takes pre-eminence.
Èṣùkáyọ̀dé,Èṣù brings joy.
Èṣùkẹ́mi,Èṣù cares for me.
Èṣúrúoṣó,The èṣúrú of the sorcerer.
Èṣúsànyà,Èṣù repaid me (with good) for my suffering.
Èṣúṣeékẹ́,(The child of) Èsù should be pampered.
Èsùtáyọ̀,Èsù is worth rejoicing for.
Èṣúyẹmí,Esu (worship) fits me.
Ẹ̀taòkò,The third stone.
Èwúoṣó,A sage's hamlet
Èyíloreolúwa,This is the gift of God
Èyímofẹ́,This one (is the one) I want.
Èyínimofé,This is what I want. This is whom I wanted. This is whom I love.
Èyíówùáwí,We do not wish to say this.
Èyítáyọ̀,This (child) is enough joy.
Èyítèmi,This (one) is mine.
Èyítófọ́lá,A child enough for wealth.
Èyítọ́lá,This is the worth of wealth.
Èyítómi,This one is sufficient for me.
Èyítóní,"This child is the ultimate asset. This child is a valuable asset,"
Èyítọ́pẹ́,This (one) is worth celebrating.
Èyíwùnmí,This attracts me.
Èyíwùnmítólúwabunmí,I love what I've been given by God.
Fábámiṣé,Ifá did it for me. Ifá helped me.
Fábámwò,Ifá helps me care for.
Fábánwò,Ifá helps me watch over (this child).
Fábáre,Ifá meets goodness.
Fábárebọ̀,Ifá came with goodness.
Fábáyọ̀,"Ifa meets joy.
[Shortened form of ""Ifábáyọ̀"""
Fábélúrìn,Ifá walks with Elú. [verification needed]
Fábíyí,Ifá birthed this.
Fábọ́rọ̀dé,Ifá arrives with wealth.
Fábọ̀wálé,Ifá has returned home.
Fábóyè,Ifá meets chiefdom.
Fábùnmi,Ifá gave me.
Fábùsọ́rọ̀,Ifá adds to wealth.
Fábuyìdé,Ifá brought honour.
Fádáhùnsi,The oracle assents.
Fádáìró,Ifá spared this.
Fàdákà,Silver
Fádámitán,Ifá created me complete.
Fádárà,Ifá does wonders. Ifá did wonders.
Fádáre,Ifá justifies.
Fádayọ̀mi,Ifá becomes my joy.
Fadéhànmí,Show me the crown.
Fadéjìmí,Entrust royalty to me.
Fadékẹ́,One cared for with royalty.
Fadékẹ́mi,Grace me with the crown.
Fádélé,Ifá has arrived home.
Fádémi,Ifá crowned me.
Fádeni,[unknown]
Fadérera,One who uses the crown to calm her soul.
Fádẹ̀rọ̀,1. Ifá comes as a relief.
Fadeṣeré,One who frolics with the crown.
Fadéṣẹwà,Make beauty with royalty.
Fadéṣẹwàfúnmi,Make beauty for me with a crown.
Fadéshẹwà,Use royalty for adornment.
Fadéshọlá,Make wealth with royalty.
Fádèyí,Ifa becomes this.
Fadéyìbí,Born with this crown.
Fadéyọmí,Save me with a crown.
Fádìíre,Ifá planned it well.
Fádìjí,Ifá becomes the shade.
Fadilé,Ifá becomes home.
Fádìmúlà,"Ifá, one to hold onto in order to survive."
Fádípẹ̀,Ifá repaid.
Fádìran,Ifá becomes hereditary.
Fádirepọ̀,Ifá became goodness along (with this one).
Fádíyà,Ifá divination replaced suffering.
Fádìyímú,Ifá upheld this one.
Fádójú,Ifá has not shamed/disappointed me.
Fádojútìmí,Ifá did not disappoint me or put me to shame.
Fádọ́wọ̀lémi,Ifá granted me respect.
Fádoyèbọ̀,Ifá becomes chieftaincy on return.
Fádùgbà,"Shortened form of ""Fádùgbàgbé""."
Fádùgbé,"Ifá is sweet to carry.
[verification needed]"
Fádùnmádé,Ifá is well enjoyed with royalty.
Fáfẹ́mi,Ifá loves me.
Fáfihàn,Ifá showed him/her off.
Fáfinúhàn,Ifá is transparent.
Fáfiọ́lá,Ifá added to success/wealth/nobility.
Fáfiyèbí,Ifá birthed this with wisdom.
Fáfọláhàn,Ifá exhibits/exhumes success.
Fáfọre,Ifá speaks positively.
Fáfowórà,Ifá bought (this) with money.
Fáfoyè,Ifá brought the throne.
Fáfoyègbé,Ifá discerned with honour.
Fáfúnkẹ́,Ifá gave me to cherish.
Fáfúnmi,Ifá gave me.
Fáfúnmólú,Ifá made me a leader.
Fáfúnwá,(One) Ifá gave me to find.
Fágadé,Ifa ascended the throne
Fágbàmí,Ifá saved me.
Fágbàmígbé,Ifá received me totally.
Fágbàmílà,Ifa saved me.
Fágbàmíyè,Ifá saved me.
Fágbàyíbọ̀,Ifá brought this back.
Fágbèjà,Ifá supports.
Fágbẹ́kún,Ifa heard (our) cries.
Fágbèmí,Ifá supports me.
Fágbémigùn,Ifá helped me climb.
Fágbémijó,Ifá carried and danced with me.
Fágbémiró,Ifá upheld me.
Fágbénlé,The oracle makes me triumph.
Fágbénró,Ifá upheld me.
Fágbèrè,Ifá receives rewards.
Fágbewéṣà,Ifá chooses to collect herbs.
Fágbéyìró,Ifá upheld this.
Fágbièlé,Ifá is dependable.
Fágbilé,Ifá fills up the house/homes.
Fágbọdún,Ifá receives festivities.
Fágbohùn,Ifá received (our) voice.
Fágbohùngbé,Ifá didn't let (our) voice go to waste.
Fágbohùnká,Ifá heard all the supplications around.
Fágbọlá,Ifá receives wealth.
Fágbọ́ládé,Ifá has brought wealth or honor.
Fágbọrẹ,Ifá receives thanksgiving.
Fágborun,
Fágboùnká,Ifá received the supplications of all around.
Fágboyè,Ifá has taken a title.
Fágorúsì,Ifá climbed into fame.
Fágùntẹ́,Ifá mounted the throne.
Fágúnwà,Ifá holds court.
Fájánà,Ifá found the way.
Fájẹ́mbọ́là,Ifá lets me be wealthy.
Fájẹ́mgbésì,Ifá lets me receive a response.
Fájẹ́mifọ̀,Ifá has given me a voice.
Fájẹ́milà,Ifá has allowed me to survive.
Fájẹ́milẹ́hìn,Ifá has my back.
Fájẹ́milẹ́yin,Ifá has my back.
Fájẹ́mirókun,Ifá gives me vitality.
Fájẹ́miróyè,Ifá lets me see the chieftaincy.
Fájẹ́misìn,Ifá lets me worship.
Fájẹngbésì,Ifá lets me get a response.
Fájẹ́nyọ̀,Ifá lets/makes me rejoice.
Fájìmí,Ifá entrusted me (with this).
Fájímitẹ́,Ifá did not let me be shamed.
Fájíngbésì,Ifá lets me get a response.
Fájìnmí,Ifá entrusted me.
Fájọlà,Ifá enjoys wealth/prosperity.
Fájolú,Ifá becomes the head.
Fajoyègbé,Ifá does not let honour go to waste.
Fájùkẹ́,Ifá is worth cherishing.
Fájùlúgbé,Ifá did not let the town go to waste.
Fájùmọ̀bí,Ifá gave birth to together.
Fájuyì,Ifá did not permit honour to waste.
Fájuyìgbé,Ifá did not let honour go to waste.
Fájuyìtán,Ifá does not let honour end.
Fákáyéjọ,Ifá brings the universe together.
Fákáyòdé,Ifá has brought joy here in droves.
Fákẹ́yẹ,Ifá gathered honour.
Fákílẹ̀,Ifá stomped established prominence.
Fakinle,Meaning unknown
Fákinlẹ̀dé,"""Wearing a string of precious beads, the oracle god has come and joined in the divination exercises."" Culled from A Dictionary of Yorùbá Personal Names by Adébóyè Babalọlá"
Fákíyèsí,Ifá noticed. Ifá paid attention to.
Fákókundé,Ifa brought strength.
Fákọ́ladé,Ifa arrives with wealth.
Fákólùjọ,Ifá brought drums together.
Fákórèdé,Ifa has brought harvest.
Fákówàjọ,Ifá has gathered (people of) character.
Fákọ̀yà,Ifá rejected suffering.
Fákóyè,Ifá carried the honour.
Fákúàdé,Ifá has brought good things or tidings home.
Fákúnlé,Ifá has taken over [filled] the house.
Fákúwàjọ,A version of Fákówàjọ̀. [verification needed]
Fáladé,"1. Ifá is the crown.
2. Ifá is what we have worn.
3. Ifá intermingled with royalty."
Fálaè,Ifá does not harbour or engage in deceit.
Fálajé,Ifá is enterprise.
Fálajú,Ifá is civilized.
Fálànà,Ifá cleared the path.
Fálàṣẹ,Ifa is authority.
Fálàshẹ,Ifa is authority.
Fáláyàjó,Ifá is brave enough to dance.
Fálayé,Ifá is the world.
Fálayọ̀,Ifá is joy.
Fálẹ́gàn,Ifá doesn't have blemish.
Fálékè,Ifá triumphs.
Fálékúlọ,Ifa has chased death away.
Fálétí,Ifá is listening. Ifá listened.
Fálẹ́yẹ,Ifá has prestige.
Fáléyìmú,Ifá chased and caught this.
Fálóbì,"Ifa has kolanuts.
[verification needed]"
Fálódé,It is Ifá that has arrived.
Fálodì,[Meaning unknown]
Fálọdún,Ifa is festivity.
Fálokùn,Ifá is the link.
Fálọlá,Ifá is wealth/success.
Fálolú,"Ifá is the head, prominent one."
Fálọpẹ́,Ifá is thanksgiving.
Fálore,Ifá is goodness.
